outcome,analysis,population,exposure_definition,severity_adjustment,weight_strategy,contrast,estimate_type,estimate,CI_lower,CI_upper,interpretation_flag
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1439145011005607,1.0655923598947148,1.227993400738566,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1715889861064719,1.0756113926198674,1.2761307306560759,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,0.9962003031369931,0.9061147450634719,1.0952421306207967,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.2281085766322388,1.1152665900330865,1.3523678459272401,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.0364572880807281,0.9173923986207935,1.170975159191066,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1184649169677245,1.0319946505766235,1.2121804796067959,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4860300112620384,1.3779178301891601,1.602624732759501,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4802004102354156,1.3516019184471069,1.6210344366619325,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1121362802266257,1.0408674441998547,1.1882849374226672,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.139053616219869,1.0597387026286917,1.2243047624902637,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.175467300883931,1.078269544452309,1.2814266920143604,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,0.9935536615973636,0.9037213202263659,1.0923155804560032,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.2421223127854304,1.1261891720542034,1.3699899432572136,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.0593959676012268,0.9366524674378686,1.198224373699402,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,E_nonneurologic_sofa_0_6h,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,,,,not_available_in_frozen_analysis_table
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,E_nonneurologic_sofa_0_6h,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,,,,not_available_in_frozen_analysis_table
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,E_nonneurologic_sofa_0_6h,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,,,,not_available_in_frozen_analysis_table
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,E_nonneurologic_sofa_0_6h,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,,,,not_available_in_frozen_analysis_table
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,E_nonneurologic_sofa_0_6h,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,,,,not_available_in_frozen_analysis_table
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,E_nonneurologic_sofa_0_6h,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,,,,not_available_in_frozen_analysis_table
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,E_nonneurologic_sofa_0_6h,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,,,,not_available_in_frozen_analysis_table
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,E_nonneurologic_sofa_0_6h,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,,,,not_available_in_frozen_analysis_table
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,E_nonneurologic_sofa_0_6h,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,,,,not_available_in_frozen_analysis_table
365-day mortality,strict-prior psychiatric exposure additive interaction,prespecified analysis population,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,,interaction,,,,prespecified sensitivity interaction
365-day mortality,strict-prior psychiatric exposure additive interaction,prespecified analysis population,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,,interaction,,,,prespecified sensitivity interaction
365-day mortality,strict-prior psychiatric exposure additive interaction,prespecified analysis population,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,,interaction,,,,prespecified sensitivity interaction
365-day mortality,strict-prior psychiatric exposure additive interaction,prespecified analysis population,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,,interaction,,,,prespecified sensitivity interaction
365-day mortality,48h delirium definition additive interaction,prespecified analysis population,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,,interaction,,,,prespecified sensitivity interaction
365-day mortality,48h delirium definition additive interaction,prespecified analysis population,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,,interaction,,,,prespecified sensitivity interaction
365-day mortality,48h delirium definition additive interaction,prespecified analysis population,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,,interaction,,,,prespecified sensitivity interaction
365-day mortality,48h delirium definition additive interaction,prespecified analysis population,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,,interaction,,,,prespecified sensitivity interaction
